"id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"772687031277326336","","","2016-09-05 06:45:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","誰やねん、夜中に地下鉄のレールの上走り回ったやつ...
#モントリオール 
#メトロ #グリーンライン","","","",""
"768050001561780225","","","2016-08-23 11:39:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","手数料半端ないT^T
カナダのビザeTA申請、日本語Webからやったら、¥6400取られた...
カナダ政府のWebからやったら、$7(650円ほど)やったのに...
詐欺みたい&gt;_&lt;
ホンマ、ミスやわぁ","","","",""
"754824261617934336","","","2016-07-17 23:45:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ポケモンげっとだぜ！ https://t.co/koc8PgLaWd","","","","https://twitter.com/ToshinoriHayas1/status/754824261617934336/photo/1"
"746008372483219456","745963587156381696","1468723260","2016-06-23 15:53:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 申し訳ないっす","","","",""
"739387537156890624","","","2016-06-05 09:25:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Doing something worse than expected only means that there is a room for improvement.  良い言葉友達にもらった(^ ^) 明日から頑張ろ","","","",""
"739379255310585856","","","2016-06-05 08:52:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","次の新幹線2時間後はツライ(T_T)","","","",""
"735084960365699072","","","2016-05-24 12:28:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ドタキャンすると思い込んで、切り替えます。","","","",""
"735069098502017024","","","2016-05-24 11:25:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","最悪や
AVICIIのJapan tour、鹿児島の学会と重なった(T_T)
最悪や最悪や最悪や最悪や&gt;_&lt;","","","",""
"730035166538653697","729967148349546499","3160990814","2016-05-10 14:02:01 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 何それ、俺もメカブほしい。今度ちょうだいな。","","","",""
"729967148349546499","729949761617305600","1468723260","2016-05-10 09:31:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 メカブ使ったら、自動でできんの？
俺、いちいち手打ちでAPIとおしててんけど","","","",""
"718845667913805826","","","2016-04-09 16:58:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","今日は地震多いですね","","","",""
"712514210580840448","","","2016-03-23 05:40:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","海外の大学院進学に関する情報求めてます。何か情報あれば、教えてください&gt;_&lt;","","","",""
"672349620589060096","","","2015-12-03 09:40:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ダイエットしよー","","","",""
"668304021350805505","668298107944173568","997042627","2015-11-22 05:44:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kuroco137 何が何が？","","","",""
"667324682123657216","667323946476310528","1468723260","2015-11-19 12:52:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 勉強会係になってしまった。勉強会あんまり前向きじゃなかったのに、、、","","","",""
"665668509527990272","","","2015-11-14 23:11:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","最近のFacebookには、安否通知って機能あるんやね
パリの友達が巻き込まれてなくてよかった(T_T)
もはや、他人事じゃない","","","",""
"664034524842426368","664011233662668800","1931005638","2015-11-10 10:59:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ameno_hini 今日のskypeMTG中に、先生激おこやったからな。
ちょっとヤバかった...","","","",""
"660430161033101312","","","2015-10-31 12:16:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Happy Halloween! https://t.co/mqe56WRdv7","","","","https://twitter.com/ToshinoriHayas1/status/660430161033101312/photo/1"
"660082358171729920","","","2015-10-30 13:14:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","姪っ子が書いてくれた、オカンとオトンと俺の似顔絵。
何が違うんだろうか... https://t.co/TEeCMmz6tV","","","","https://twitter.com/ToshinoriHayas1/status/660082358171729920/photo/1"
"657892399646052359","657889882392539136","1468723260","2015-10-24 12:12:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 おれいつも、その温泉で働いてる(^ ^)
明日も朝6時から昼まで働いてるので来てねー（笑）","","","",""
"657494393658544128","657476293479436289","389286521","2015-10-23 09:50:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@aiueda123 いつくるんですか？？","","","",""
"656486555557609472","656486074798108677","1468723260","2015-10-20 15:06:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 うん、おそらく","","","",""
"656483048569966592","656474715360354304","1468723260","2015-10-20 14:52:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 行こ","","","",""
"655701703958753282","655691594511683584","517549286","2015-10-18 11:07:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@fcaiai18 果報は寝て待て
おやすみ！！","","","",""
"651585213126995968","","","2015-10-07 02:29:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","二週間遅れですが、誕生日プレゼントいただきました。
ルンルンありがとう！！ http://t.co/gdZ6oUkTbr","","","","https://twitter.com/ToshinoriHayas1/status/651585213126995968/photo/1"
"650795413088309248","","","2015-10-04 22:11:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","20歳超えてからの夜行バスはやっぱりしんどいm(._.)m","","","",""
"650353355563204608","650346712653893633","271784298","2015-10-03 16:54:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@k1sh1sh1 やろやろ
多分、一番緊張してたの俺やで（笑）","","","",""
"650257682448822272","","","2015-10-03 10:34:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","プレゼンおわったー
責任感やばかったー（笑）
関西学院大学として優秀賞もらえました","","","",""
"646690302049189888","","","2015-09-23 14:19:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","なんでラグビーあんなにカッコいいん","","","",""
"646462844653858820","","","2015-09-22 23:15:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","今日学校ないねんなー
去年まで祝日休みなことなかったのに...","","","",""
"643419044905811968","643418213858938880","67317498","2015-09-14 13:40:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@maaapy08 
情報と構造化の輪講が明日やったはず
基本情報がなくなって
やから、やらなあかんのちゃう（笑）？","","","",""
"643415348218191875","643405431939854336","67317498","2015-09-14 13:25:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@maaapy08 
基本情報を先にやって、輪講を後回しにしたから、明日は輪講とプログラミングに変更になったはず","","","",""
"641565688818065408","","","2015-09-09 10:55:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ものすごく、バレーボールしたい(T . T)
日本に帰ってきてから、やってないm(__)m","","","",""
"639770634952683520","639768369353232384","271784298","2015-09-04 12:03:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@k1sh1sh1 どういうこっちゃ
俺より可愛い女の子いっぱいいるわ
ってか、女の子みんな俺より可愛いわ","","","",""
"639767386124476416","","","2015-09-04 11:50:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","関西外大、綺麗な人が多かった。
っていうか、女性が多かった。","","","",""
"639642382963609601","639641965433217024","1468723260","2015-09-04 03:33:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 なるほど
良い1日を","","","",""
"639641543649787904","639636467136892928","1468723260","2015-09-04 03:30:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nrkw1130 13:30までの勉強会消えたん？","","","",""
"639623144215482369","","","2015-09-04 02:16:55 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","めっちゃ緊急速報アラームなるやん","","","",""
"630926044862640130","630925570566569984","264880567","2015-08-11 02:17:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@akisk323 教学webからでてるよ！
学年ごとに見れる時間が違うみたいやけど","","","",""
"630925830378532864","630923927703793664","2178284005","2015-08-11 02:16:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kawano0318 でてるで！
教学webから見れる","","","",""
"630906502383996928","","","2015-08-11 01:00:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GPA3.0への道のりは程遠い(T . T)","","","",""
"629688743155240960","","","2015-08-07 16:21:10 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","なんでだろう。鼻水が止まらない。","","","",""
"628579380478898176","","","2015-08-04 14:52:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","大阪帰らなきゃ
今回は夜行バス乗り遅れなくてよかった","","","",""
"619118852429869056","","","2015-07-09 12:20:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","カエルなう@三号館前 http://t.co/tuYCfY2SUs","","","","https://twitter.com/ToshinoriHayas1/status/619118852429869056/photo/1"
"619117952168689664","","","2015-07-09 12:16:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","芝生キモティーwwwww","","","",""
"602682420303802368","","","2015-05-25 03:47:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","髪の毛染めたった","","","",""
"599227684460236801","599221159750545408","3160990814","2015-05-15 14:59:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1日終わって、油断してましたT^T","","","",""
"599221159750545408","","","2015-05-15 14:33:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","夜行バス乗り遅れた
泣きそうm(__)m","","","",""
"590740898369122304","","","2015-04-22 04:56:20 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","今からバレーボール🎶
校門近くの芝生でやってます","","","",""
"590737226088198144","","","2015-04-22 04:41:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","きゃわの可愛いよなー","","","",""
"590474022279745536","","","2015-04-21 11:15:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ツイッター教わってるなう^ ^","","","",""
"589631659470753792","","","2015-04-19 03:28:37 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","試験オワタ＼(^o^)／","","","",""
